127.0.0.1 - - [05/Nov/2023:11:54:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:54:29 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:54:29 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:54:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:54:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:54:35 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:57:18 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [05/Nov/2023:11:57:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:19 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7167
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:33 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9839
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:33 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Nov/2023:13:25:33 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
