127.0.0.1 - - [22/Nov/2023:12:04:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:04:57 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:04:57 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:20:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:20:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:20:15 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:25:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:25:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3761
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:26:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:32:10 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [22/Nov/2023:12:32:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
