127.0.0.1 - - [12/Dec/2023:19:40:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:41:00 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:41:00 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:41:00 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:42:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:42:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:42:40 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:51:31 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:51:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:51:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:55:34 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12055
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:55:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:55:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:04:32 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12021
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:04:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:04:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:19:28 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12021
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:19:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:19:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:20:33 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12012
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:20:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:20:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:21:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:30:36 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:30:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:30:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:08 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12012
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:23 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:26 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:46 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12012
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:31:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:32:03 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 500 12190
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:32:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:32:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:37:06 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:37:06 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:37:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:37:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:37:15 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:40:53 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7097
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:40:58 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7097
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:41:14 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:42:40 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:42:40 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:43:56 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:43:56 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:22 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:22 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:24 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:24 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:26 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:26 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:36 +0530] "POST /project_3/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:36 +0530] "GET /project_3/ErrorCtl HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:36 +0530] "GET /project_3/img/404.jpg HTTP/1.1" 200 89799
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:36 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:46 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:50 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:52 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5628
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:47:52 +0530] "GET /project_3/img/log1.jpg HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:48:28 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:48:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9841
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:48:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:55:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Dec/2023:21:00:13 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18448
0:0:0:0:0:0:0:1 - - [12/Dec/2023:21:08:46 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18448
