127.0.0.1 - - [25/Oct/2023:15:39:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:39:54 +0530] "GET /project_3/ HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:00 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3777
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:07 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9861
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:22 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:22 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:22 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:22 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:22 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:24 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:24 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:24 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:24 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:24 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:27 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:27 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:27 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:27 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:27 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/in/co/rays/project_3/dto/BaseDTO.html HTTP/1.1" 200 21395
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:33 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/in/co/rays/project_3/dto/BaseDTO.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/Oct/2023:15:40:43 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
