0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/BaseCtl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:54:00 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/in/co/rays/project_3/controller/BaseCtl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/module-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:57:21 +0530] "GET /project_3/doc/tag-search-index.js HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:26 +0530] "GET /project_3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:26 +0530] "GET /project_3/doc/module-search-index.zip HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [23/Oct/2023:12:58:26 +0530] "GET /project_3/doc/tag-search-index.zip HTTP/1.1" 404 973
