127.0.0.1 - - [02/Dec/2023:14:27:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Dec/2023:14:27:06 +0530] "GET /project_3/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [02/Dec/2023:14:27:06 +0530] "GET /project_3/img/bg17.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:01:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:01:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:01:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:01:37 +0530] "GET /project_3/img/bg16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:02:35 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:23 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:23 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3755
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:03:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:36 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:50 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12054
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:56 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 12064
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Dec/2023:16:04:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
